iter	Logloss
0	0.6854093172
1	0.6785150213
2	0.6725757422
3	0.6662425499
4	0.6605579373
5	0.6552384949
6	0.6497130015
7	0.6445270501
8	0.6397102659
9	0.6345269506
10	0.6281478334
11	0.6242881141
12	0.6204526119
13	0.6159287807
14	0.6108180246
15	0.6060466207
16	0.6016963008
17	0.5973817685
18	0.593107908
19	0.5899458765
20	0.5853300577
21	0.5810554196
22	0.5765995724
23	0.5730909095
24	0.5696447579
25	0.5650194388
26	0.5615916911
27	0.5576748996
28	0.5548271572
29	0.5515772064
30	0.5475547134
31	0.5441152634
32	0.5408864139
33	0.5377116145
34	0.5342382121
35	0.531465878
36	0.5283050947
37	0.5255916737
38	0.5222537758
39	0.5194070205
40	0.5162358817
41	0.5135852079
42	0.5102126844
43	0.5075965361
44	0.5054676135
45	0.5030124239
46	0.4996306021
47	0.497454159
48	0.4952405787
49	0.4923793631
50	0.4898869436
51	0.4873901842
52	0.484799273
53	0.4825846906
54	0.4806194664
55	0.4779049403
56	0.476235396
57	0.4739945971
58	0.4721921885
59	0.4698597147
60	0.4677861903
61	0.4651013844
62	0.4628985111
63	0.4608394522
64	0.4586290664
65	0.4572380891
66	0.455144736
67	0.4532708833
68	0.4513257232
69	0.449455563
70	0.4470944694
71	0.4453638543
72	0.4437113915
73	0.4422214728
74	0.4403647352
75	0.4388665676
76	0.4367621645
77	0.4349007799
78	0.4331617307
79	0.4316457259
80	0.4302549497
81	0.4283752777
82	0.4269132571
83	0.425301625
84	0.4235349428
85	0.4220922594
86	0.4205672398
87	0.4189480613
88	0.4171728082
89	0.4157982607
90	0.4140543992
91	0.4127102127
92	0.4108194936
93	0.409537524
94	0.4081859273
95	0.406777468
96	0.4054864229
97	0.4042251802
98	0.4030822784
99	0.4018564649
100	0.4006354227
101	0.3992823393
102	0.3981120186
103	0.3967727872
104	0.3955532599
105	0.394235332
106	0.3933255485
107	0.3920734005
108	0.3908852822
109	0.3897441728
110	0.3886621607
111	0.3872951256
112	0.386403384
113	0.3854163444
114	0.3843397253
115	0.3831836754
116	0.3820685556
117	0.3811251299
118	0.3799357355
119	0.3790121009
120	0.3779860068
121	0.377692588
122	0.3767022369
123	0.3758082001
124	0.3751050404
125	0.3737782339
126	0.3728719381
127	0.3719553595
128	0.3708545728
129	0.3698926529
130	0.3684889219
131	0.3676185173
132	0.3666531723
133	0.3657413043
134	0.364927502
135	0.3637650135
136	0.3630518064
137	0.3619937412
138	0.3609744685
139	0.3601012009
140	0.359631131
141	0.3586165941
142	0.3578734102
143	0.3568247335
144	0.3561943175
145	0.3553895288
146	0.3540697673
147	0.3533045541
148	0.3525898722
149	0.3515928231
150	0.3503209558
151	0.3496696674
152	0.3489568024
153	0.3482837666
154	0.3473643527
155	0.3458718144
156	0.3452270589
157	0.3441676095
158	0.3435359772
159	0.3427893632
160	0.3422492883
161	0.3415727333
162	0.3406817482
163	0.3399095671
164	0.3392675258
165	0.3387157868
166	0.3381355553
167	0.3371283867
168	0.3365466265
169	0.3356539373
170	0.334900625
171	0.3338694459
172	0.3331135091
173	0.331864539
174	0.3309322479
175	0.3302349061
176	0.329386362
177	0.3286949574
178	0.3281270671
179	0.3271667499
180	0.3264442964
181	0.3258179739
182	0.3254828773
183	0.324768988
184	0.3241335517
185	0.3233485668
186	0.3226182969
187	0.321930015
188	0.321240358
189	0.3205326497
190	0.3197704221
191	0.3191704938
192	0.3185009248
193	0.318019375
194	0.3174780715
195	0.3167061339
196	0.3162191719
197	0.3156855019
198	0.3150278881
199	0.3144947811
200	0.3136985419
201	0.3130570233
202	0.3124207297
203	0.3117714889
204	0.3110943322
205	0.3102311297
206	0.3096611377
207	0.3091225259
208	0.3085234101
209	0.3076798429
210	0.3070523823
211	0.3066167648
212	0.3060083001
213	0.3053933364
214	0.3048417661
215	0.3041335759
216	0.3033819534
217	0.3027093818
218	0.3021717828
219	0.3015820302
220	0.300945946
221	0.3004122496
222	0.299827669
223	0.2991680852
224	0.2986649729
225	0.2980430701
226	0.2975382145
227	0.2970877211
228	0.2964704448
229	0.2957719186
230	0.2950946177
231	0.2944333002
232	0.2937982979
233	0.293391458
234	0.292869212
235	0.2920910306
236	0.2914378112
237	0.291009872
238	0.2906351324
239	0.289984986
240	0.2894558121
241	0.2889343064
242	0.2883224347
243	0.2878489451
244	0.2872702345
245	0.286760727
246	0.2862735695
247	0.2856759241
248	0.2851214938
249	0.2845436152
250	0.2839810952
251	0.2834297375
252	0.2827940514
253	0.2823929239
254	0.2818168334
255	0.2812408762
256	0.2806744103
257	0.2802567533
258	0.2798043034
259	0.27931211
260	0.2788622043
261	0.2783263582
262	0.2776597616
263	0.2771853826
264	0.2767320214
265	0.2765534091
266	0.2760759025
267	0.2755709463
268	0.2751663585
269	0.2746847189
270	0.274110005
271	0.2736398181
272	0.2731163578
273	0.2726775273
274	0.2723253299
275	0.2719376736
276	0.271294743
277	0.2707594923
278	0.2703461153
279	0.2699501621
280	0.2695384449
281	0.2689116593
282	0.2683002283
283	0.2680142799
284	0.2672194088
285	0.2667761937
286	0.2665103163
287	0.2660522074
288	0.2655050074
289	0.2650571347
290	0.2645237414
291	0.2642081698
292	0.263902347
293	0.2633616056
294	0.2627944351
295	0.2623430621
296	0.2619047052
297	0.261443507
298	0.2608887753
299	0.2603553814
300	0.260063954
301	0.2597146167
302	0.2592819657
303	0.2589282632
304	0.2583371986
305	0.2579487661
306	0.2575864838
307	0.2572402646
308	0.2566035034
309	0.2560166883
310	0.2557692282
311	0.2552573539
312	0.2548440017
313	0.254481349
314	0.2536389967
315	0.2532829291
316	0.2530313534
317	0.252612764
318	0.2520237605
319	0.251733311
320	0.2513774199
321	0.2508405169
322	0.2504733497
323	0.250041223
324	0.2496977864
325	0.2492199555
326	0.2487542729
327	0.2482740768
328	0.2477018386
329	0.2472460687
330	0.246801318
331	0.2465093394
332	0.2461864335
333	0.2457907034
334	0.2454070429
335	0.2450478068
336	0.2446907242
337	0.2442179435
338	0.2437953429
339	0.2434630112
340	0.2429938211
341	0.2424484634
342	0.2420709225
343	0.2416227062
344	0.2412414916
345	0.2409106978
346	0.2406314914
347	0.2404360998
348	0.2400063536
349	0.2393920691
350	0.2388812748
351	0.2384437474
352	0.2379884473
